developer,provider_count,mktShare,est_mips_2018,edition2015_base_status,provider_type_,provider_type_eligible clinician,provider_type_eligible hospital,market_impact_index
308,0.3693444136657433,0.13413816230717632,282,16,False,True,False,56.62491365552503
309,0.35826408125577097,0.13011401743796128,294,6,False,True,False,59.01816624585928
310,0.0,0.0,1,1,False,True,False,0.2
311,0.003693444136657433,0.0013413816230717671,1,16,False,True,False,0.20224913655525026
312,0.003693444136657433,0.0013413816230717671,18,16,False,True,False,3.6022491365552503
313,0.055401662049861494,0.020120724346076483,63,16,False,True,False,12.633737048328754
316,0.33240997229916897,0.12072434607645892,95,16,False,True,False,19.20242228997252
317,0.0110803324099723,0.004024144869215287,1,16,False,True,False,0.20674740966575075
318,0.10710987996306555,0.038900067069081154,201,16,False,True,False,40.26522496010226
319,0.9270544783010157,0.33668678739101277,151,16,False,True,False,30.764533275367814
320,0.1883656509695291,0.06841046277665978,114,16,False,True,False,22.914705964317765
321,0.2917820867959372,0.10596914822266923,77,16,False,True,False,15.577681787864769
314,0.09972299168975068,0.03621730382293763,314,16,False,True,False,62.86072668699176
322,0.03693444136657433,0.013413816230717648,239,16,False,True,False,47.82249136555251
323,0.08125577100646351,0.029510395707578796,321,11,False,True,False,64.24948100421551
315,0.22899353647276086,0.08316566063044949,71,16,False,True,False,14.339446466425516
324,0.1698984302862419,0.06170355466130109,94,16,False,True,False,18.903460281541513
325,0.1440443213296399,0.05231388329979873,138,14,False,True,False,27.687716325654762
326,0.4616805170821791,0.16767270288397074,196,16,False,True,False,39.48114206940628
327,0.11449676823638041,0.04158283031522468,23,16,False,True,False,4.669723233212758
330,0.0110803324099723,0.004024144869215287,63,16,False,True,False,12.606747409665752
329,0.0221606648199446,0.008048289738430598,337,16,False,True,False,67.4134948193315
346,1.0,0.8195841716968486,155,16,False,True,False,31.745875251509055
347,0.4062788550323176,0.14755197853789417,313,16,False,True,False,62.84740502107753
348,0.0,0.0,1,16,False,True,False,0.2
349,1.0,0.4869215291750491,258,10,False,True,False,52.24607645875252
351,1.0,1.0,99,16,False,True,False,20.6
